Station;Culture_start;Assay_start;Treatment_sal;Replicate;Time;Active
SK;2022-08-21;2023-03-31;1;3;72;0
SK;2022-08-21;2023-03-31;2;1;72;1
SK;2022-08-21;2023-03-31;2;1;72;1
SK;2022-08-21;2023-03-31;2;1;72;0
SK;2022-08-21;2023-03-31;2;1;72;0
SK;2022-08-21;2023-03-31;2;2;72;1
SK;2022-08-21;2023-03-31;2;2;72;1
SK;2022-08-21;2023-03-31;2;2;72;1
SK;2022-08-21;2023-03-31;2;2;72;0
SK;2022-08-21;2023-03-31;2;2;72;0
SK;2022-08-21;2023-03-31;2;3;72;1
SK;2022-08-21;2023-03-31;2;3;72;1
SK;2022-08-21;2023-03-31;2;3;72;0
SK;2022-08-21;2023-03-31;2;3;72;0
SK;2022-08-21;2023-03-31;2;3;72;0
SK;2022-08-21;2023-03-31;3;1;72;1
SK;2022-08-21;2023-03-31;3;1;72;1
SK;2022-08-21;2023-03-31;3;1;72;1
SK;2022-08-21;2023-03-31;3;1;72;1
SK;2022-08-21;2023-03-31;3;1;72;0
SK;2022-08-21;2023-03-31;3;2;72;1
SK;2022-08-21;2023-03-31;3;2;72;1
SK;2022-08-21;2023-03-31;3;2;72;1
SK;2022-08-21;2023-03-31;3;2;72;1
SK;2022-08-21;2023-03-31;3;2;72;1
SK;2022-08-21;2023-03-31;3;3;72;1
SK;2022-08-21;2023-03-31;3;3;72;1
SK;2022-08-21;2023-03-31;3;3;72;1
SK;2022-08-21;2023-03-31;3;3;72;0
SK;2022-08-21;2023-03-31;3;3;72;0
SK;2022-08-21;2023-03-31;5;1;72;1
SK;2022-08-21;2023-03-31;5;1;72;1
SK;2022-08-21;2023-03-31;5;1;72;1
SK;2022-08-21;2023-03-31;5;1;72;1
SK;2022-08-21;2023-03-31;5;1;72;1
SK;2022-08-21;2023-03-31;5;2;72;1
SK;2022-08-21;2023-03-31;5;2;72;1
SK;2022-08-21;2023-03-31;5;2;72;1
SK;2022-08-21;2023-03-31;5;2;72;1
SK;2022-08-21;2023-03-31;5;2;72;1
SK;2022-08-21;2023-03-31;5;3;72;1
SK;2022-08-21;2023-03-31;5;3;72;1
SK;2022-08-21;2023-03-31;5;3;72;1
SK;2022-08-21;2023-03-31;15;1;72;1
SK;2022-08-21;2023-03-31;15;1;72;1
SK;2022-08-21;2023-03-31;15;1;72;1
SK;2022-08-21;2023-03-31;15;1;72;1
SK;2022-08-21;2023-03-31;15;1;72;1
SK;2022-08-21;2023-03-31;15;2;72;1
SK;2022-08-21;2023-03-31;15;2;72;1
SK;2022-08-21;2023-03-31;15;2;72;1
SK;2022-08-21;2023-03-31;15;2;72;1
SK;2022-08-21;2023-03-31;15;2;72;1
SK;2022-08-21;2023-03-31;15;3;72;1
SK;2022-08-21;2023-03-31;15;3;72;1
SK;2022-08-21;2023-03-31;15;3;72;1
SK;2022-08-21;2023-03-31;15;3;72;1
SW08;2022-08-31;2023-04-11;0.1;1;2;1
SW08;2022-08-31;2023-04-11;0.1;1;2;0
SW08;2022-08-31;2023-04-11;0.1;1;2;0
SW08;2022-08-31;2023-04-11;0.1;1;2;0
SW08;2022-08-31;2023-04-11;0.1;1;2;0
SW08;2022-08-31;2023-04-11;0.1;2;2;1
SW08;2022-08-31;2023-04-11;0.1;2;2;1
SW08;2022-08-31;2023-04-11;0.1;2;2;0
SW08;2022-08-31;2023-04-11;0.1;2;2;0
SW08;2022-08-31;2023-04-11;0.1;2;2;0
SW08;2022-08-31;2023-04-11;0.1;3;2;1
SW08;2022-08-31;2023-04-11;0.1;3;2;1
SW08;2022-08-31;2023-04-11;0.1;3;2;0
SW08;2022-08-31;2023-04-11;0.1;3;2;0
SW08;2022-08-31;2023-04-11;0.1;3;2;0
SW08;2022-08-31;2023-04-11;1;1;2;1
SW08;2022-08-31;2023-04-11;1;1;2;1
SW08;2022-08-31;2023-04-11;1;1;2;0
SW08;2022-08-31;2023-04-11;1;1;2;0
SW08;2022-08-31;2023-04-11;1;1;2;0
SW08;2022-08-31;2023-04-11;1;2;2;1
SW08;2022-08-31;2023-04-11;1;2;2;1
SW08;2022-08-31;2023-04-11;1;2;2;1
SW08;2022-08-31;2023-04-11;1;2;2;0
SW08;2022-08-31;2023-04-11;1;2;2;0
SW08;2022-08-31;2023-04-11;1;3;2;1
SW08;2022-08-31;2023-04-11;1;3;2;0
SW08;2022-08-31;2023-04-11;1;3;2;0
SW08;2022-08-31;2023-04-11;1;3;2;0
SW08;2022-08-31;2023-04-11;1;3;2;0
SW08;2022-08-31;2023-04-11;2;1;2;1
SW08;2022-08-31;2023-04-11;2;1;2;1
SW08;2022-08-31;2023-04-11;2;1;2;1
SW08;2022-08-31;2023-04-11;2;1;2;1
SW08;2022-08-31;2023-04-11;2;1;2;1
SW08;2022-08-31;2023-04-11;2;2;2;1
SW08;2022-08-31;2023-04-11;2;2;2;1
SW08;2022-08-31;2023-04-11;2;2;2;1
SW08;2022-08-31;2023-04-11;2;2;2;1
SW08;2022-08-31;2023-04-11;2;2;2;1
SW08;2022-08-31;2023-04-11;2;3;2;1
SW08;2022-08-31;2023-04-11;2;3;2;1
SW08;2022-08-31;2023-04-11;2;3;2;1
SW08;2022-08-31;2023-04-11;2;3;2;1
SW08;2022-08-31;2023-04-11;2;3;2;1
SW08;2022-08-31;2023-04-11;3;1;2;1
SW08;2022-08-31;2023-04-11;3;1;2;1
SW08;2022-08-31;2023-04-11;3;1;2;1
SW08;2022-08-31;2023-04-11;3;1;2;1
SW08;2022-08-31;2023-04-11;3;1;2;1
SW08;2022-08-31;2023-04-11;3;2;2;1
SW08;2022-08-31;2023-04-11;3;2;2;1
SW08;2022-08-31;2023-04-11;3;2;2;1
SW08;2022-08-31;2023-04-11;3;2;2;1
SW08;2022-08-31;2023-04-11;3;2;2;1
SW08;2022-08-31;2023-04-11;3;3;2;1
SW08;2022-08-31;2023-04-11;3;3;2;1
SW08;2022-08-31;2023-04-11;3;3;2;1
SW08;2022-08-31;2023-04-11;3;3;2;1
SW08;2022-08-31;2023-04-11;3;3;2;1
SW08;2022-08-31;2023-04-11;5;1;2;1
SW08;2022-08-31;2023-04-11;5;1;2;1
SW08;2022-08-31;2023-04-11;5;1;2;1
SW08;2022-08-31;2023-04-11;5;1;2;1
SW08;2022-08-31;2023-04-11;5;1;2;1
SW08;2022-08-31;2023-04-11;5;2;2;1
SW08;2022-08-31;2023-04-11;5;2;2;1
SW08;2022-08-31;2023-04-11;5;2;2;1
SW08;2022-08-31;2023-04-11;5;2;2;1
SW08;2022-08-31;2023-04-11;5;2;2;1
SW08;2022-08-31;2023-04-11;5;3;2;1
SW08;2022-08-31;2023-04-11;5;3;2;1
SW08;2022-08-31;2023-04-11;5;3;2;1
SW08;2022-08-31;2023-04-11;5;3;2;1
SW08;2022-08-31;2023-04-11;5;3;2;1
SW08;2022-08-31;2023-04-11;15;1;2;1
SW08;2022-08-31;2023-04-11;15;1;2;1
