x,y,days_below_so,days_below_so_fb,days_below_so_adj_95,days_total,days_below_so_adj_95fb,survival_so,survival_adj_95,survival_so_fb,survival_adj_95fb
5.00001049041748,53,0,0,0,153,0,100,100,100,100
5.00001049041748,53.083333348119,0,0,0,153,0,100,100,100,100
5.00001049041748,53.166666696238,0,0,0,153,0,100,100,100,100
5.00001049041748,53.3333333924759,0,0,0,153,0,100,100,100,100
5.00001049041748,53.4166667405949,0,0,0,153,0,100,100,100,100
5.00001049041748,53.5000000887139,0,0,0,153,0,100,100,100,100
5.00001049041748,53.5833334368329,0,0,0,153,0,100,100,100,100
5.00001049041748,53.6666667849519,0,0,0,153,0,100,100,100,100
5.00001049041748,53.7500001330708,0,0,0,153,0,100,100,100,100
5.00001049041748,53.8333334811898,0,0,0,153,0,100,100,100,100
5.00001049041748,53.9166668293088,0,0,0,153,0,100,100,100,100
5.00001049041748,54.0000001774278,0,0,0,153,0,100,100,100,100
5.00001049041748,54.0833335255468,0,0,0,153,0,100,100,100,100
5.00001049041748,54.1666668736658,0,0,0,153,0,100,100,100,100
5.00001049041748,54.2500002217847,0,0,0,153,0,100,100,100,100
5.00001049041748,54.3333335699037,0,0,0,153,0,100,100,100,100
5.00001049041748,54.4166669180227,0,0,0,153,0,100,100,100,100
5.00001049041748,54.5000002661417,0,0,0,153,0,100,100,100,100
5.00001049041748,54.5833336142607,0,0,0,153,0,100,100,100,100
5.00001049041748,54.6666669623796,0,0,0,153,0,100,100,100,100
5.00001049041748,54.7500003104986,0,0,0,153,0,100,100,100,100
5.00001049041748,54.8333336586176,0,0,0,153,0,100,100,100,100
5.00001049041748,54.9166670067366,0,0,0,153,0,100,100,100,100
5.00001049041748,55.0000003548556,0,0,0,153,0,100,100,100,100
5.00001049041748,55.0833337029745,0,0,0,153,0,100,100,100,100
5.00001049041748,55.1666670510935,0,0,0,153,0,100,100,100,100
5.00001049041748,55.2500003992125,0,0,0,153,0,100,100,100,100
5.00001049041748,55.3333337473315,0,0,0,153,0,100,100,100,100
5.00001049041748,55.4166670954505,0,0,0,153,0,100,100,100,100
5.00001049041748,55.5000004435695,0,0,0,153,0,100,100,100,100
5.00001049041748,55.5833337916884,0,0,0,153,0,100,100,100,100
5.00001049041748,55.6666671398074,0,0,0,153,0,100,100,100,100
5.00001049041748,55.7500004879264,0,0,0,153,0,100,100,100,100
5.00001049041748,55.8333338360454,0,0,0,153,0,100,100,100,100
5.00001049041748,55.9166671841644,0,0,0,153,0,100,100,100,100
5.00001049041748,56.0000005322833,0,0,0,153,0,100,100,100,100
5.00001049041748,56.0833338804023,0,0,0,153,0,100,100,100,100
5.00001049041748,56.1666672285213,0,0,0,153,0,100,100,100,100
5.00001049041748,56.2500005766403,0,0,0,153,0,100,100,100,100
5.00001049041748,56.3333339247593,0,0,0,153,0,100,100,100,100
5.00001049041748,56.4166672728782,0,0,0,153,0,100,100,100,100
5.00001049041748,56.5000006209972,0,0,0,153,0,100,100,100,100
5.00001049041748,56.5833339691162,0,0,0,153,0,100,100,100,100
5.00001049041748,56.6666673172352,0,0,0,153,0,100,100,100,100
5.00001049041748,56.7500006653542,0,0,0,153,0,100,100,100,100
5.00001049041748,56.8333340134732,0,0,0,153,0,100,100,100,100
5.00001049041748,56.9166673615921,0,0,0,153,0,100,100,100,100
5.00001049041748,57.0000007097111,0,0,0,153,0,100,100,100,100
5.00001049041748,57.0833340578301,0,0,0,153,0,100,100,100,100
5.00001049041748,57.1666674059491,0,0,0,153,0,100,100,100,100
5.00001049041748,57.2500007540681,0,0,0,153,0,100,100,100,100
5.00001049041748,57.3333341021871,0,0,0,153,0,100,100,100,100
5.00001049041748,57.416667450306,0,0,0,153,0,100,100,100,100
5.00001049041748,57.500000798425,0,0,0,153,0,100,100,100,100
5.00001049041748,57.583334146544,0,0,0,153,0,100,100,100,100
5.00001049041748,57.666667494663,0,0,0,153,0,100,100,100,100
5.00001049041748,57.750000842782,0,0,0,153,0,100,100,100,100
5.00001049041748,57.8333341909009,0,0,0,153,0,100,100,100,100
5.00001049041748,57.9166675390199,0,0,0,153,0,100,100,100,100
5.00001049041748,58.0000008871389,0,0,0,153,0,100,100,100,100
5.00001049041748,58.0833342352579,0,0,0,153,0,100,100,100,100
5.00001049041748,58.1666675833769,0,0,0,153,0,100,100,100,100
5.00001049041748,58.2500009314958,0,0,0,153,0,100,100,100,100
