x,y,time.x,salinity.x,time.y,salinity.y,salinity_diff,change_rate
5.02500017041348,65.9749988811352,X2090.01.01,33.9171920533724,X2010.01.01,35.0728546840224,-1.15566263064994,-0.0329503441069028
5.07500017210913,65.9749988811352,X2090.01.01,33.9107350746718,X2010.01.01,35.0691681719654,-1.15843309729358,-0.0330328079529313
5.12500017380478,65.9749988811352,X2090.01.01,33.9059296280637,X2010.01.01,35.0658251650997,-1.15989553703592,-0.0330776626979349
5.17500017550046,65.9749988811352,X2090.01.01,33.9017933310813,X2010.01.01,35.0626133813264,-1.16082005024508,-0.0331070601503797
5.22500017719611,65.9749988811352,X2090.01.01,33.8953724257997,X2010.01.01,35.0570897703488,-1.16171734454905,-0.0331378717446088
5.27500017889176,65.9749988811352,X2090.01.01,33.8916087530651,X2010.01.01,35.054359762883,-1.1627510098179,-0.0331699399927159
5.32500018058741,65.9749988811352,X2090.01.01,33.885582711627,X2010.01.01,35.0492009182938,-1.16361820666679,-0.0331995645030367
5.37500018228309,65.9749988811352,X2090.01.01,33.8807489728325,X2010.01.01,35.0458331991318,-1.16508422629934,-0.0332445863015808
5.42500018397874,65.9749988811352,X2090.01.01,33.8713281407968,X2010.01.01,35.0421493749952,-1.17082123419839,-0.0334117985078233
5.47500018567439,65.9749988811352,X2090.01.01,33.8626964715776,X2010.01.01,35.0369012513356,-1.17420477975792,-0.0335133741233227
5.52500018737004,65.9749988811352,X2090.01.01,33.856405097969,X2010.01.01,35.0344199714438,-1.17801487347484,-0.0336245005464633
5.57500018906569,65.9749988811352,X2090.01.01,33.847497138615,X2010.01.01,35.0293220036513,-1.18182486503626,-0.0337381598454311
5.62500019076137,65.9749988811352,X2090.01.01,33.8404327967923,X2010.01.01,35.0264168598045,-1.18598406301219,-0.0338597027426234
5.67500019245702,65.9749988811352,X2090.01.01,33.8330028343869,X2010.01.01,35.0229760407907,-1.18997320640382,-0.0339769300306712
5.72500019415267,65.9749988811352,X2090.01.01,33.822826110771,X2010.01.01,35.0176025471838,-1.1947764364128,-0.0341193099899664
5.77500019584832,65.9749988811352,X2090.01.01,33.8158788388618,X2010.01.01,35.014746489407,-1.19886765054518,-0.0342389356126818
5.82500019754397,65.9749988811352,X2090.01.01,33.815206961466,X2010.01.01,35.0086477331165,-1.19344077165055,-0.034089884897828
5.87500019923965,65.9749988811352,X2090.01.01,33.8074399398372,X2010.01.01,35.0061385713136,-1.19869863147645,-0.0342425266081401
5.9250002009353,65.9749988811352,X2090.01.01,33.7965916691054,X2010.01.01,35.0029216319406,-1.20632996283525,-0.034463693503072
5.97500020263095,65.9749988811352,X2090.01.01,33.7878401188117,X2010.01.01,35.0003620032336,-1.21252188442188,-0.0346431240999694
6.0250002043266,65.9749988811352,X2090.01.01,33.7807754524164,X2010.01.01,34.9994713522389,-1.21869589982244,-0.0348204087872454
6.07500020602225,65.9749988811352,X2090.01.01,33.77387418598,X2010.01.01,34.9978820677252,-1.22400788174524,-0.0349737701091921
6.12500020771793,65.9749988811352,X2090.01.01,33.7680408214703,X2010.01.01,34.9992167091646,-1.23117588769436,-0.0351772411915715
6.17500020941358,65.9749988811352,X2090.01.01,33.7627125321203,X2010.01.01,35.0001615892008,-1.23744905708053,-0.0353555241145613
6.22500021110923,65.9749988811352,X2090.01.01,33.7598915217526,X2010.01.01,35.0037617526032,-1.24387023085066,-0.0355353301637117
6.27500021280488,65.9749988811352,X2090.01.01,33.755710427592,X2010.01.01,35.0058702995014,-1.25015987190948,-0.0357128636201136
6.32500021450056,65.9749988811352,X2090.01.01,33.7537798442387,X2010.01.01,35.009975492728,-1.25619564848932,-0.0358810776302957
6.37500021619621,65.9749988811352,X2090.01.01,33.7521427711066,X2010.01.01,35.0136880919855,-1.26154532087892,-0.036030061088243
